rho,eta,r_mu_2030_pct,opc_2030
-0.018624,1.500000,0.800696,441.085895
-0.016750,1.500000,0.992029,396.725171
-0.016679,1.500000,1.007515,396.090814
-0.015579,1.500000,1.110846,369.976802
-0.014740,1.500000,1.196456,351.422516
-0.013474,1.500000,1.327344,325.185187
-0.011369,1.500000,1.538865,285.946963
-0.009264,1.500000,1.745468,251.652081
-0.007158,1.500000,1.944227,221.745719
-0.006603,1.500000,1.996010,214.534590
-0.005053,1.500000,2.138167,195.697244
-0.002948,1.500000,2.326051,173.073163
-0.000843,1.500000,2.509242,153.415789
0.001263,1.500000,2.687700,136.361256
0.003368,1.500000,2.868784,121.572249
0.004918,1.500000,3.002405,111.949608
0.005473,1.500000,3.049966,108.740238
0.007578,1.500000,3.229172,97.593586
0.009684,1.500000,3.401839,87.893614
0.011789,1.500000,3.570765,79.441042
0.013894,1.500000,3.739080,72.058051
0.015999,1.500000,3.906710,65.593118
0.017170,1.500000,3.999672,62.345547
0.018105,1.500000,4.073752,59.914977
0.020210,1.500000,4.241699,54.916971
0.022315,1.500000,4.408321,50.502458
0.024421,1.500000,4.574850,46.589012
0.025983,1.500000,4.698298,43.970525
0.029797,1.500000,4.999753,38.435609
0.030000,1.500000,5.015803,38.171120
0.036160,1.500000,5.503649,31.305372
