r_mu_pct,opc_2030
0.772346,720.890122
0.864013,695.693435
0.886341,664.662563
0.888603,690.767672
0.898181,668.612686
0.942937,655.827901
0.944809,634.709126
0.956843,661.258024
0.959949,653.433214
0.962933,662.257406
0.964846,657.876001
0.966480,647.437113
0.971181,651.195890
0.985112,624.386370
1.012349,671.000247
1.016339,643.790234
1.017719,608.124493
1.029409,660.018017
1.030892,643.934794
1.037985,675.669010
1.040290,665.311399
1.060333,649.747049
1.064874,617.083810
1.064938,622.330957
1.066764,639.461480
1.072586,646.242288
1.073681,627.998789
1.074413,638.271568
1.075345,620.340288
1.087983,635.557371
1.091505,623.904515
1.095629,601.188293
1.139774,606.089813
1.146502,636.370527
1.156469,603.783031
1.158287,590.953059
1.161366,608.399230
1.164728,600.789002
1.167474,602.648029
1.167585,590.564049
1.175633,604.996927
1.202287,586.714949
1.209855,597.529337
1.226829,582.390610
1.230302,586.787575
1.231462,587.612759
1.234314,579.903399
1.268319,573.946519
1.270803,577.437035
1.292362,572.094814
1.293394,567.463490
1.311533,564.679961
1.319003,560.994715
1.325673,559.656668
1.345210,557.913092
1.348955,550.389157
1.360111,551.043152
1.367974,546.733146
1.379705,537.965131
1.382073,540.927881
1.396451,538.233130
1.413938,532.236249
1.415039,530.860000
1.420576,523.945269
1.431579,524.723057
1.465946,517.158251
1.476843,515.956720
1.477762,513.884356
1.487257,510.024402
1.492682,507.934094
1.513000,506.313890
1.517332,509.037106
1.523149,501.245759
1.535073,494.473723
1.540047,494.356190
1.544872,493.824700
1.567996,485.828147
1.568677,483.718142
1.600232,486.844784
1.600716,477.799533
1.608923,480.076211
1.623936,476.223138
1.634558,469.738428
1.652095,476.893246
1.656732,466.074569
1.662308,463.076773
1.673206,451.663387
1.678591,460.074868
1.689777,456.641693
1.707631,451.951583
1.713583,448.628483
1.720859,447.542645
1.739970,442.632920
1.749408,440.154022
1.762563,438.673054
1.774341,431.760753
1.784515,431.827168
1.789096,435.741941
1.811566,426.081835
1.815152,423.031788
1.815652,429.998525
1.827108,422.374280
1.841161,416.105210
1.844431,419.592388
1.862024,414.720022
1.873817,412.019070
1.883083,408.527511
1.884824,406.742859
1.895410,403.462314
1.920331,401.319595
1.924666,398.915817
1.936364,397.523540
1.949018,393.908115
1.954494,390.882697
1.964806,388.793894
1.977345,385.982592
1.987451,384.768903
1.995120,382.407788
2.014015,377.979448
2.015557,380.227766
2.023592,377.241267
2.036556,373.631702
2.044444,371.422248
2.053106,369.016079
2.062878,368.043652
2.071827,364.436472
2.083534,362.472634
2.093258,360.390815
2.106805,358.059095
2.107726,358.319841
