sweep,cell,beta,tau,eta,rho,mac,dt,converged,chosen_from,was_dup,d_score,alt_mac,alt_dt,r_mu_pct
mc/mc_beta0_s,mc_beta0_s_gid-1384_20260710_050037,0.0,0.0,1.000258,0.038948,37.2840921567,3.18035543638,True,mc/mc_beta0_s,False,,,,5.82861758433
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-196_20260711_034023,0.0,0.0,1.000345,0.002646,207.963685273,2.10954169496,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.65099428442
mc/mc_infill_2_3_a,mc_infill_2_3_a_gid-163_20260714_213243,0.0,0.0,1.002129,-0.016226,642.817540136,0.808368361408,True,mc/mc_infill_2_3_a,True,0.227365,536.821682,0.756174,1.16559823265
mc/mc_beta0_s,mc_beta0_s_gid-400_20260710_075132,0.0,0.0,1.003737,0.03078,50.2384683546,3.05416286112,True,mc/mc_beta0_s,False,,,,5.13328385671
mc/mc_beta0_s,mc_beta0_s_gid-1153_20260710_045241,0.0,0.0,1.005713,0.024463,65.3552843915,2.92208698276,True,mc/mc_beta0_s,False,,,,4.5956648412
mc/mc_beta0_s,mc_beta0_s_gid-475_20260710_075653,0.0,0.0,1.006894,0.010339,132.164304689,2.47400265624,True,mc/mc_beta0_s,False,,,,3.37150333564
mc/mc_beta0_s,mc_beta0_s_gid-874_20260710_080326,0.0,0.0,1.008942,0.012173,119.278227812,2.54786662614,True,mc/mc_beta0_s,False,,,,3.53834613766
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-412_20260711_035051,0.0,0.0,1.009108,-0.011571,485.936284122,1.21507396747,True,mc/mc_low_rmu_s_beta0_0,True,0.112811,496.255832,1.208623,1.28176313217
mc/mc_beta0_s,mc_beta0_s_gid-1057_20260710_045242,0.0,0.0,1.01062,0.032369,46.9777175769,3.08450816745,True,mc/mc_beta0_s,False,,,,5.28389473596
mc/mc_beta0_s,mc_beta0_s_gid-103_20260710_074742,0.0,0.0,1.012344,0.01915,83.1131489617,2.78441730603,True,mc/mc_beta0_s,False,,,,4.15273810844
mc/mc_infill_3_4,mc_infill_3_4_gid-115_20260714_172001,0.0,0.0,1.014268,-0.002172,274.307522953,1.85269372973,True,mc/mc_infill_3_4,False,,,,2.22451446839
mc/mc_infill_2_3,mc_infill_2_3_gid-211_20260715_041042,0.0,0.0,1.015159,-0.007632,383.730045738,1.50220231449,True,mc/mc_infill_2_3,True,0.078479,384.405195,1.500481,1.68885652388
mc/mc_beta0_s,mc_beta0_s_gid-676_20260710_080022,0.0,0.0,1.015863,0.012519,116.222450477,2.56564958058,True,mc/mc_beta0_s,False,,,,3.58514326405
mc/mc_beta0_s,mc_beta0_s_gid-1114_20260710_050004,0.0,0.0,1.016513,0.012833,114.206675215,2.57780018116,True,mc/mc_beta0_s,False,,,,3.614187597
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-445_20260711_035057,0.0,0.0,1.018999,-0.004837,321.587816601,1.69242340521,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.9739836166
mc/mc_beta0_s,mc_beta0_s_gid-1129_20260710_050004,0.0,0.0,1.019421,0.022416,70.8017458263,2.8774964739,True,mc/mc_beta0_s,False,,,,4.45020370881
mc/mc_beta0_s,mc_beta0_s_gid-577_20260710_075553,0.0,0.0,1.022413,0.01512,100.672776271,2.66274336541,True,mc/mc_beta0_s,False,,,,3.82744560969
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-292_20260711_034631,0.0,0.0,1.023894,0.005542,170.388682837,2.27593210227,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.98118574522
mc/mc_beta0_s,mc_beta0_s_gid-607_20260710_080023,0.0,0.0,1.024275,0.03018,50.6378249978,3.0497157944,True,mc/mc_beta0_s,False,,,,5.12494694567
mc/mc_beta0_s,mc_beta0_s_gid-772_20260710_081424,0.0,0.0,1.026647,0.021108,74.7192003888,2.84651204488,True,mc/mc_beta0_s,False,,,,4.35408788035
mc/mc_beta0_s,mc_beta0_s_gid-1240_20260710_045905,0.0,0.0,1.028877,0.028009,55.0850535077,3.00913343409,True,mc/mc_beta0_s,False,,,,4.94919203255
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-433_20260711_035052,0.0,0.0,1.029672,0.004656,178.26845585,2.23839745812,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.91347615786
mc/mc_beta0_s,mc_beta0_s_gid-100_20260710_074742,0.0,0.0,1.032867,0.027212,56.7529288078,2.99417575174,True,mc/mc_beta0_s,False,,,,4.88966075208
mc/mc_infill_2_3_a,mc_infill_2_3_a_gid-145_20260714_213243,0.0,0.0,1.033711,-0.005747,334.075912003,1.65064711553,True,mc/mc_infill_2_3_a,True,0.154286,333.697032,1.651862,1.92348508763
mc/mc_beta0_s,mc_beta0_s_gid-994_20260710_080255,0.0,0.0,1.035602,0.033609,44.0134271297,3.11220792695,True,mc/mc_beta0_s,False,,,,5.44147805785
mc/mc_infill_3_4,mc_infill_3_4_gid-121_20260714_172903,0.0,0.0,1.036666,-0.004516,308.34609642,1.73364940619,True,mc/mc_infill_3_4,False,,,,2.0534224196
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-34_20260711_034022,0.0,0.0,1.037997,0.007496,149.810949135,2.37706766338,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.19410147253
mc/mc_beta0_s,mc_beta0_s_gid-526_20260710_075454,0.0,0.0,1.038819,0.038231,37.2449919235,3.17975189252,True,mc/mc_beta0_s,False,,,,5.84342518528
mc/mc_beta0_s,mc_beta0_s_gid-280_20260710_075225,0.0,0.0,1.041768,0.027085,56.6396339575,2.99479530382,True,mc/mc_beta0_s,False,,,,4.89787373292
mc/mc_infill_2_3,mc_infill_2_3_gid-469_20260715_041803,0.0,0.0,1.043386,-0.010229,434.065950361,1.3529421849,True,mc/mc_infill_2_3,True,0.005794,434.06595,1.352942,1.49134833282
mc/mc_beta0_s,mc_beta0_s_gid-865_20260710_080353,0.0,0.0,1.044259,0.007691,147.123644143,2.39058054872,True,mc/mc_beta0_s,False,,,,3.22679620592
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-40_20260711_034022,0.0,0.0,1.046008,-0.009218,408.298762383,1.43337550898,True,mc/mc_low_rmu_s_beta0_0,True,0.073644,408.904498,1.433034,1.6055670606
mc/mc_beta0_s,mc_beta0_s_gid-1075_20260710_045238,0.0,0.0,1.046151,0.020149,76.7617452408,2.8298334574,True,mc/mc_beta0_s,False,,,,4.31446125763
mc/mc_beta0_s,mc_beta0_s_gid-1273_20260710_045735,0.0,0.0,1.048653,0.015686,95.2513905412,2.6971730028,True,mc/mc_beta0_s,False,,,,3.9371562226
mc/mc_beta0_s,mc_beta0_s_gid-277_20260710_075223,0.0,0.0,1.051986,0.009659,130.646834266,2.47929026617,True,mc/mc_beta0_s,False,,,,3.41993618126
mc/mc_infill_3_4,mc_infill_3_4_gid-145_20260714_171604,0.0,0.0,1.054892,0.008782,136.731184964,2.44535063378,True,mc/mc_infill_3_4,False,,,,3.34950216995
mc/mc_beta0_s,mc_beta0_s_gid-733_20260710_080156,0.0,0.0,1.055383,0.03252,45.1831848049,3.10018886309,True,mc/mc_beta0_s,False,,,,5.38923433245
mc/mc_beta0_s,mc_beta0_s_gid-1132_20260710_045614,0.0,0.0,1.057161,0.015857,93.6327345983,2.70764888652,True,mc/mc_beta0_s,False,,,,3.97147940259
mc/mc_infill_2_3,mc_infill_2_3_gid-451_20260715_041754,0.0,0.0,1.058591,-0.014237,541.735937514,1.08300349963,True,mc/mc_infill_2_3,True,0.109022,541.735938,1.083003,1.12136076512
mc/mc_beta0_s,mc_beta0_s_gid-505_20260710_081424,0.0,0.0,1.059576,0.014397,100.620467185,2.66073459126,True,mc/mc_beta0_s,False,,,,3.85112481954
mc/mc_beta0_s,mc_beta0_s_gid-583_20260710_075627,0.0,0.0,1.060506,0.014093,102.115535421,2.65091227934,True,mc/mc_beta0_s,False,,,,3.82700647166
mc/mc_beta0_s,mc_beta0_s_gid-22_20260710_074741,0.0,0.0,1.063156,0.0348,41.3142106406,3.13793779611,True,mc/mc_beta0_s,False,,,,5.59917538478
mc/mc_beta0_s,mc_beta0_s_gid-1222_20260710_050006,0.0,0.0,1.064077,0.009795,127.970863184,2.49355705265,True,mc/mc_beta0_s,False,,,,3.46092775922
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-49_20260711_034022,0.0,0.0,1.064168,0.001325,208.632684504,2.10123327317,True,mc/mc_low_rmu_s_beta0_0,False,,,,2.68917424915
mc/mc_beta0_s,mc_beta0_s_gid-895_20260710_080323,0.0,0.0,1.066674,0.016315,90.6466710681,2.72765156124,True,mc/mc_beta0_s,False,,,,4.03266230304
mc/mc_beta0_s,mc_beta0_s_gid-859_20260710_080323,0.0,0.0,1.068137,0.003936,177.830228272,2.23734274685,True,mc/mc_beta0_s,False,,,,2.94330783232
mc/mc_infill_2_3,mc_infill_2_3_gid-1_20260715_040904,0.0,0.0,1.069498,-0.013067,498.156629831,1.18760392441,True,mc/mc_infill_2_3,True,0.169332,498.15663,1.187604,1.26995977256
mc/mc_beta0_s,mc_beta0_s_gid-1162_20260710_045241,0.0,0.0,1.070845,0.016495,89.4691759613,2.73562267204,True,mc/mc_beta0_s,False,,,,4.05763197415
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-145_20260711_034024,0.0,0.0,1.072059,-0.007411,353.512293891,1.58814950199,True,mc/mc_low_rmu_s_beta0_0,False,,,,1.86047488625
mc/mc_beta0_s,mc_beta0_s_gid-1375_20260710_045914,0.0,0.0,1.073047,0.005738,159.224707131,2.32657590505,True,mc/mc_beta0_s,False,,,,3.121695825
mc/mc_beta0_s,mc_beta0_s_gid-454_20260710_075752,0.0,0.0,1.074031,0.01072,120.366994109,2.53693974887,True,mc/mc_beta0_s,False,,,,3.56570994378
mc/mc_infill_3_4,mc_infill_3_4_gid-25_20260714_162331,0.0,0.0,1.074251,0.003103,185.4462438,2.20185633864,True,mc/mc_infill_3_4,False,,,,2.88131126646
mc/mc_low_rmu_s_beta0_0,mc_low_rmu_s_beta0_0_gid-232_20260711_034530,0.0,0.0,1.075117,0.010047,124.708477816,2.51148137936,True,mc/mc_low_rmu_s_beta0_0,False,,,,3.50942536586
mc/mc_beta0_s,mc_beta0_s_gid-562_20260710_081424,0.0,0.0,1.076787,0.025898,57.8297679676,2.98279432321,True,mc/mc_beta0_s,False,,,,4.87201857098
mc/mc_infill_2_3,mc_infill_2_3_gid-433_20260715_041756,0.0,0.0,1.078796,-0.005195,305.161068283,1.73984915077,True,mc/mc_infill_2_3,True,0.199323,305.161068,1.739849,2.09823171445
mc/mc_beta0_s,mc_beta0_s_gid-1453_20260710_050335,0.0,0.0,1.079173,0.026033,57.3887914283,2.98656288416,True,mc/mc_beta0_s,False,,,,4.88857090843
mc/mc_beta0_s,mc_beta0_s_gid-1486_20260710_050516,0.0,0.0,1.085125,0.0002,217.710382809,2.06164983837,True,mc/mc_beta0_s,False,,,,2.63657431114
