year,SSP1,SSP2,SSP3,SSP4,SSP5
2015,0.5959491542100138,0.5961783751459826,0.5961680344553419,0.5964499227984947,0.5960825295545892
2020,0.5606657084188962,0.5650962944871635,0.5685184809373487,0.5702350488878509,0.5601879551056326
2025,0.5438416552946076,0.5549056044178788,0.5652902657422878,0.5694502358396583,0.5414221316060002
2030,0.529160409104307,0.5484966683537786,0.5677583661695043,0.5745533428487815,0.524855748606236
2035,0.5147773284122893,0.5431509578244316,0.5720484320169807,0.5830696137711224,0.5093204366770174
2040,0.49924355853188507,0.5375154095139787,0.5767283194952124,0.5926028089960776,0.49321556313167436
2045,0.48186634912614135,0.5313884742160219,0.5816320772809866,0.6023007481192785,0.4748332319952189
2050,0.4620021329370524,0.5243650909326198,0.5861665124075114,0.6119143092370469,0.45342541319323926
2055,0.4438983314490418,0.5164128650390983,0.5900582372789575,0.6210889541683767,0.4362979401540552
2060,0.42598543890401386,0.5082214173957933,0.5934325136304814,0.6298540553754202,0.4207982476703753
2065,0.4090859579571021,0.5001605678403303,0.596094809897268,0.6381363272295693,0.40679439230515313
2070,0.3937082388093909,0.49239648355975496,0.5979083369779608,0.6457526413029636,0.3943159053641462
2075,0.3796866350068955,0.4851320865119856,0.5989110689131573,0.6526198316693419,0.3832012206863973
2080,0.36736051310899787,0.4787552030765989,0.5995395323538478,0.6593656089177026,0.3737014647463939
2085,0.3565878237883915,0.47334156458075316,0.5997233520597716,0.6659672748729064,0.3656696564791284
2090,0.3474351903450523,0.4690662786326818,0.5995394196676952,0.6722636057735957,0.3591305686953945
2095,0.3397036724929534,0.46620063909932163,0.5993569418399133,0.6781921151306113,0.35395621043364967
2100,0.33334038286431167,0.4646696272530413,0.5990980154126881,0.6836242095646858,0.3500238765918845
